evidence_key	commit_sha	run_url	artifact_url	artifact_digest	index_sha256	target_cells	parity_report	systemd_run_url	systemd_artifact_url	systemd_artifact_digest	verification_report
rhel/nmap	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	alma-9-8,rocky-9-8	docs/parity-reviews/rhel-nmap.md	-	-	-	docs/evidence-verification/rhel-nmap.json
debian/vlc	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-vlc.md	-	-	-	docs/evidence-verification/debian-vlc.json
debian/audacity	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-audacity.md	-	-	-	docs/evidence-verification/debian-audacity.json
debian/openshot	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-openshot.md	-	-	-	docs/evidence-verification/debian-openshot.json
debian/obs-studio	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-obs-studio.md	-	-	-	docs/evidence-verification/debian-obs-studio.json
debian/deluge	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-deluge.md	-	-	-	docs/evidence-verification/debian-deluge.json
debian/mpv	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-mpv.md	-	-	-	docs/evidence-verification/debian-mpv.json
debian/smplayer	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-smplayer.md	-	-	-	docs/evidence-verification/debian-smplayer.json
debian/kazam	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-kazam.md	-	-	-	docs/evidence-verification/debian-kazam.json
debian/handbrake	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-handbrake.md	-	-	-	docs/evidence-verification/debian-handbrake.json
